Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-51;HII;18:40:46.73;-16:33:30.1;;35;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 51; Sh 2-51; S51";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-52;HII;19:47:46.84;-23:05:14.9;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 52; Sh 2-52; S52";;"form: elliptical; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-53;HII;18:25:14.75;-13:13:44.2;;15;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 53; Sh 2-53; S53";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-54;HII;18:17:53.15;-11:43:48.1;;140;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 54; Sh 2-54; S54";;"form: irregular; struct: filamentary; bright: 3/3; stars: 7";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-55;HII;18:32:11.10;-11:45:43.6;;5;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 55; Sh 2-55; S55";;"form: irregular; struct: intermediate; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-56;HII;18:31:06.20;-09:42:52.6;;7;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 56; Sh 2-56; S56";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-57;HII;18:30:33.60;-08:36:57.1;;2;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 57; Sh 2-57; S57";;"form: irregular; struct: intermediate; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-58;HII;18:31:27.23;-08:27:49.4;;8;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 58; Sh 2-58; S58";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-59;HII;18:37:01.15;-07:36:01.0;;20;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 59; Sh 2-59; S59";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-60;HII;18:36:41.04;-06:42:03.7;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 60; Sh 2-60; S60";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-61;HII;18:32:55.12;-05:00:36.1;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 61; Sh 2-61; S61";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-62;HII;18:27:34.44;-03:51:22.3;;4;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 62; Sh 2-62; S62";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-63;HII;19:57:43.18;-14:06:56.4;;55;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 63; Sh 2-63; S63";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-64;HII;18:31:35.93;-01:54:47.0;;25;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 64; Sh 2-64; S64";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-65;HII;18:46:58.12;-03:44:34.6;;7;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 65; Sh 2-65; S65";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-66;HII;18:45:30.11;-01:59:46.9;;8;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 66; Sh 2-66; S66";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-67;HII;18:49:24.93;-02:21:13.4;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 67; Sh 2-67; S67";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-68;HII;18:25:11.50;+00:51:17.8;;8;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 68; Sh 2-68; S68";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-69;HII;18:44:26.18;-00:16:55.8;;20;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 69; Sh 2-69; S69";;"form: elliptical; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-70;HII;18:14:38.92;+07:03:46.9;;5;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 70; Sh 2-70; S70";;"form: irregular; struct: amorphous; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-71;HII;19:02:02.71;+02:09:34.8;;3;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 71; Sh 2-71; S71";;"form: elliptical; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-72;HII;19:03:50.38;+02:18:50.0;;25;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 72; Sh 2-72; S72";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-73;HII;16:11:07.62;+21:52:26.4;;75;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 73; Sh 2-73; S73";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-74;HII;19:08:49.02;+05:36:32.4;;3;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 74; Sh 2-74; S74";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-75;HII;18:59:15.39;+07:07:12.0;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 75; Sh 2-75; S75";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-76;HII;18:56:25.74;+07:48:48.1;;7;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 76; Sh 2-76; S76";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-77;HII;19:48:17.28;+01:08:52.5;;8;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 77; Sh 2-77; S77";;"form: elliptical; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-78;HII;19:03:11.13;+14:07:46.4;;12;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 78; Sh 2-78; S78";;"form: circular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-79;HII;19:23:18.44;+13:58:33.9;;40;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 79; Sh 2-79; S79";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-80;HII;19:11:28.94;+16:51:56.5;;2;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 80; Sh 2-80; S80";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-81;HII;20:01:13.48;+11:47:33.7;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 81; Sh 2-81; S81";;"form: irregular; struct: amorphous; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-82;HII;19:30:20.76;+18:16:32.0;;9;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 82; Sh 2-82; S82";;"form: irregular; struct: amorphous; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-83;HII;19:24:32.15;+20:47:45.1;;2;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 83; Sh 2-83; S83";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-84;HII;19:49:03.99;+18:24:01.0;;15;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 84; Sh 2-84; S84";;"form: irregular; struct: intermediate; bright: 3/3; stars: 2";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-85;HII;19:03:17.23;+25:49:49.4;;6;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 85; Sh 2-85; S85";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-86;HII;19:43:09.69;+23:17:15.4;;40;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 86; Sh 2-86; S86";;"form: circular; struct: intermediate; bright: 2/3; stars: 3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-87;HII;19:46:24.70;+24:37:41.2;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 87; Sh 2-87; S87";;"form: irregular; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-88;HII;19:45:58.83;+25:20:37.9;;25;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 88; Sh 2-88; S88";;"form: irregular; struct: intermediate; bright: 2/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-89;HII;19:50:02.41;+26:29:09.9;;5;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 89; Sh 2-89; S89";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-90;HII;19:49:13.31;+26:52:03.5;;6;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 90; Sh 2-90; S90";;"form: irregular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-91;HII;19:35:34.04;+29:36:16.0;;120;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 91; Sh 2-91; S91";;"form: irregular; struct: filamentary; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-92;HII;19:46:39.31;+28:14:43.7;;50;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 92; Sh 2-92; S92";;"form: circular; struct: amorphous; bright: 1/3; stars: 4";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-93;HII;19:55:01.22;+27:12:48.5;;1;;;;8.0;;;;;;;;;;;;;;;;;;;"Sharpless 93; Sh 2-93; S93";;"form: irregular; struct: intermediate; bright: 3/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-94;HII;19:27:51.60;+31:28:14.1;;25;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 94; Sh 2-94; S94";;"form: irregular; struct: filamentary; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-95;HII;19:55:01.72;+29:17:48.9;;1;;;;11.0;;;;;;;;;;;;;;;;;;;"Sharpless 95; Sh 2-95; S95";;"form: circular; struct: intermediate; bright: 2/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-96;HII;19:28:42.05;+32:41:21.2;;25;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 96; Sh 2-96; S96";;"form: irregular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-97;HII;19:56:05.26;+30:15:57.2;;10;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 97; Sh 2-97; S97";;"form: circular; struct: intermediate; bright: 1/3";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
Sh2-98;HII;19:58:44.52;+31:25:17.8;;15;;;;14.0;;;;;;;;;;;;;;;;;;;"Sharpless 98; Sh 2-98; S98";;"form: circular; struct: amorphous; bright: 1/3; stars: 1";"VizieR VII/20 (Sharpless 1959); B1900→J2000 precessed"
